"emissions from power generation by source in Finland",Value,Year,Units
"Coal",15.674,2000, MtCO2
"Coal",20.161,2001, MtCO2
"Coal",22.356,2002, MtCO2
"Coal",29.541,2003, MtCO2
"Coal",26.263,2004, MtCO2
"Coal",15.632,2005, MtCO2
"Coal",26.581,2006, MtCO2
"Coal",25.074,2007, MtCO2
"Coal",18.292,2008, MtCO2
"Coal",18.819,2009, MtCO2
"Coal",24.145,2010, MtCO2
"Coal",19.087,2011, MtCO2
"Coal",15.143,2012, MtCO2
"Coal",17.204,2013, MtCO2
"Coal",15.204,2014, MtCO2
"Coal",12.411,2015, MtCO2
"Coal",14.032,2016, MtCO2
"Coal",12.703,2017, MtCO2
"Coal",13.443,2018, MtCO2
"Coal",11.085,2019, MtCO2
"Coal",8.112,2020, MtCO2
"Coal",8.562,2021, MtCO2
"Coal",8.831,2022, MtCO2
"Coal",5.905,2023, MtCO2
"Oil",1.381,2000, MtCO2
"Oil",1.601,2001, MtCO2
"Oil",1.812,2002, MtCO2
"Oil",1.905,2003, MtCO2
"Oil",1.566,2004, MtCO2
"Oil",1.362,2005, MtCO2
"Oil",1.52,2006, MtCO2
"Oil",1.48,2007, MtCO2
"Oil",1.308,2008, MtCO2
"Oil",1.47,2009, MtCO2
"Oil",1.412,2010, MtCO2
"Oil",1.072,2011, MtCO2
"Oil",1.053,2012, MtCO2
"Oil",0.719,2013, MtCO2
"Oil",0.679,2014, MtCO2
"Oil",0.759,2015, MtCO2
"Oil",0.929,2016, MtCO2
"Oil",0.782,2017, MtCO2
"Oil",0.686,2018, MtCO2
"Oil",0.818,2019, MtCO2
"Oil",0.664,2020, MtCO2
"Oil",0.764,2021, MtCO2
"Oil",1.266,2022, MtCO2
"Oil",0.883,2023, MtCO2
"Natural gas",5.286,2000, MtCO2
"Natural gas",5.918,2001, MtCO2
"Natural gas",6.052,2002, MtCO2
"Natural gas",6.927,2003, MtCO2
"Natural gas",6.555,2004, MtCO2
"Natural gas",5.861,2005, MtCO2
"Natural gas",6.201,2006, MtCO2
"Natural gas",5.376,2007, MtCO2
"Natural gas",5.681,2008, MtCO2
"Natural gas",5.174,2009, MtCO2
"Natural gas",5.795,2010, MtCO2
"Natural gas",4.876,2011, MtCO2
"Natural gas",4.135,2012, MtCO2
"Natural gas",3.741,2013, MtCO2
"Natural gas",3.17,2014, MtCO2
"Natural gas",2.756,2015, MtCO2
"Natural gas",2.46,2016, MtCO2
"Natural gas",2.048,2017, MtCO2
"Natural gas",2.593,2018, MtCO2
"Natural gas",2.272,2019, MtCO2
"Natural gas",2.314,2020, MtCO2
"Natural gas",2.261,2021, MtCO2
"Natural gas",0.71,2022, MtCO2
"Natural gas",0.96,2023, MtCO2
"Other",0.232,2000, MtCO2
"Other",0.281,2001, MtCO2
"Other",0.315,2002, MtCO2
"Other",0.341,2003, MtCO2
"Other",0.368,2004, MtCO2
"Other",0.351,2005, MtCO2
"Other",0.322,2006, MtCO2
"Other",0.348,2007, MtCO2
"Other",0.401,2008, MtCO2
"Other",0.525,2009, MtCO2
"Other",0.495,2010, MtCO2
"Other",0.553,2011, MtCO2
"Other",0.647,2012, MtCO2
"Other",0.657,2013, MtCO2
"Other",0.751,2014, MtCO2
"Other",0.779,2015, MtCO2
"Other",0.859,2016, MtCO2
"Other",0.961,2017, MtCO2
"Other",0.978,2018, MtCO2
"Other",0.995,2019, MtCO2
"Other",0.992,2020, MtCO2
"Other",1.099,2021, MtCO2
"Other",1.048,2022, MtCO2
"Other",1.084,2023, MtCO2
