"emissions from power generation by source in Oman",Value,Year,Units
"Coal",0,2000, MtCO2
"Coal",0,2001, MtCO2
"Coal",0,2002, MtCO2
"Coal",0,2003, MtCO2
"Coal",0,2004, MtCO2
"Coal",0,2005, MtCO2
"Coal",0,2006, MtCO2
"Coal",0,2007, MtCO2
"Coal",0,2008, MtCO2
"Coal",0,2009, MtCO2
"Coal",0,2010, MtCO2
"Coal",0,2011, MtCO2
"Coal",0,2012, MtCO2
"Coal",0,2013, MtCO2
"Coal",0,2014, MtCO2
"Coal",0,2015, MtCO2
"Coal",0,2016, MtCO2
"Coal",0,2017, MtCO2
"Coal",0,2018, MtCO2
"Coal",0,2019, MtCO2
"Coal",0,2020, MtCO2
"Coal",0,2021, MtCO2
"Coal",0,2022, MtCO2
"Coal",0,2023, MtCO2
"Oil",1.668,2000, MtCO2
"Oil",1.835,2001, MtCO2
"Oil",1.986,2002, MtCO2
"Oil",2.059,2003, MtCO2
"Oil",2.207,2004, MtCO2
"Oil",0.282,2005, MtCO2
"Oil",0.25,2006, MtCO2
"Oil",0.263,2007, MtCO2
"Oil",0.279,2008, MtCO2
"Oil",0.343,2009, MtCO2
"Oil",0.407,2010, MtCO2
"Oil",0.423,2011, MtCO2
"Oil",0.468,2012, MtCO2
"Oil",0.522,2013, MtCO2
"Oil",0.574,2014, MtCO2
"Oil",0.648,2015, MtCO2
"Oil",0.718,2016, MtCO2
"Oil",0.791,2017, MtCO2
"Oil",0.861,2018, MtCO2
"Oil",0.854,2019, MtCO2
"Oil",1.047,2020, MtCO2
"Oil",1.109,2021, MtCO2
"Oil",0.586,2022, MtCO2
"Oil",0.596,2023, MtCO2
"Natural gas",5.625,2000, MtCO2
"Natural gas",6.166,2001, MtCO2
"Natural gas",6.638,2002, MtCO2
"Natural gas",7.142,2003, MtCO2
"Natural gas",8.032,2004, MtCO2
"Natural gas",8.536,2005, MtCO2
"Natural gas",9.288,2006, MtCO2
"Natural gas",9.741,2007, MtCO2
"Natural gas",10.392,2008, MtCO2
"Natural gas",11.6,2009, MtCO2
"Natural gas",12.253,2010, MtCO2
"Natural gas",13.013,2011, MtCO2
"Natural gas",14.597,2012, MtCO2
"Natural gas",14.391,2013, MtCO2
"Natural gas",15.413,2014, MtCO2
"Natural gas",16.032,2015, MtCO2
"Natural gas",15.397,2016, MtCO2
"Natural gas",15.868,2017, MtCO2
"Natural gas",15.997,2018, MtCO2
"Natural gas",14.457,2019, MtCO2
"Natural gas",14.014,2020, MtCO2
"Natural gas",15.155,2021, MtCO2
"Natural gas",14.939,2022, MtCO2
"Natural gas",16.86,2023, MtCO2
"Other",0,2000, MtCO2
"Other",0,2001, MtCO2
"Other",0,2002, MtCO2
"Other",0,2003, MtCO2
"Other",0,2004, MtCO2
"Other",0,2005, MtCO2
"Other",0,2006, MtCO2
"Other",0,2007, MtCO2
"Other",0,2008, MtCO2
"Other",0,2009, MtCO2
"Other",0,2010, MtCO2
"Other",0,2011, MtCO2
"Other",0,2012, MtCO2
"Other",0,2013, MtCO2
"Other",0,2014, MtCO2
"Other",0,2015, MtCO2
"Other",0,2016, MtCO2
"Other",0,2017, MtCO2
"Other",0,2018, MtCO2
"Other",0,2019, MtCO2
"Other",0,2020, MtCO2
"Other",0,2021, MtCO2
"Other",0,2022, MtCO2
"Other",0,2023, MtCO2
