"emissions from power generation by source in Russia",Value,Year,Units
"Coal",346.767,2000, MtCO2
"Coal",341.267,2001, MtCO2
"Coal",340.422,2002, MtCO2
"Coal",350.296,2003, MtCO2
"Coal",334.891,2004, MtCO2
"Coal",336.705,2005, MtCO2
"Coal",364.106,2006, MtCO2
"Coal",327.611,2007, MtCO2
"Coal",331.687,2008, MtCO2
"Coal",285.899,2009, MtCO2
"Coal",312.644,2010, MtCO2
"Coal",322.049,2011, MtCO2
"Coal",302.33,2012, MtCO2
"Coal",290.096,2013, MtCO2
"Coal",250.733,2014, MtCO2
"Coal",271.878,2015, MtCO2
"Coal",256.654,2016, MtCO2
"Coal",254.241,2017, MtCO2
"Coal",288.188,2018, MtCO2
"Coal",279.022,2019, MtCO2
"Coal",263.095,2020, MtCO2
"Coal",274.162,2021, MtCO2
"Coal",307.994,2022, MtCO2
"Coal",314.311,2023, MtCO2
"Oil",74.906,2000, MtCO2
"Oil",72.091,2001, MtCO2
"Oil",67.615,2002, MtCO2
"Oil",63.905,2003, MtCO2
"Oil",57.805,2004, MtCO2
"Oil",55.315,2005, MtCO2
"Oil",54.885,2006, MtCO2
"Oil",46.508,2007, MtCO2
"Oil",41.678,2008, MtCO2
"Oil",41.409,2009, MtCO2
"Oil",35.918,2010, MtCO2
"Oil",53.819,2011, MtCO2
"Oil",54.164,2012, MtCO2
"Oil",34.758,2013, MtCO2
"Oil",36.147,2014, MtCO2
"Oil",31.509,2015, MtCO2
"Oil",24.278,2016, MtCO2
"Oil",23.607,2017, MtCO2
"Oil",27.19,2018, MtCO2
"Oil",23.096,2019, MtCO2
"Oil",20.345,2020, MtCO2
"Oil",21.825,2021, MtCO2
"Oil",22.021,2022, MtCO2
"Oil",22.396,2023, MtCO2
"Natural gas",437.961,2000, MtCO2
"Natural gas",445.882,2001, MtCO2
"Natural gas",452.777,2002, MtCO2
"Natural gas",466.23,2003, MtCO2
"Natural gas",470.993,2004, MtCO2
"Natural gas",478.847,2005, MtCO2
"Natural gas",493.562,2006, MtCO2
"Natural gas",503.194,2007, MtCO2
"Natural gas",499.251,2008, MtCO2
"Natural gas",482.677,2009, MtCO2
"Natural gas",522.664,2010, MtCO2
"Natural gas",559.328,2011, MtCO2
"Natural gas",569.602,2012, MtCO2
"Natural gas",562.045,2013, MtCO2
"Natural gas",532.633,2014, MtCO2
"Natural gas",485.881,2015, MtCO2
"Natural gas",472.275,2016, MtCO2
"Natural gas",474.03,2017, MtCO2
"Natural gas",471.999,2018, MtCO2
"Natural gas",461.063,2019, MtCO2
"Natural gas",446.832,2020, MtCO2
"Natural gas",513.141,2021, MtCO2
"Natural gas",480.487,2022, MtCO2
"Natural gas",514.017,2023, MtCO2
"Other",14.887,2000, MtCO2
"Other",16.279,2001, MtCO2
"Other",16.747,2002, MtCO2
"Other",12.769,2003, MtCO2
"Other",17.599,2004, MtCO2
"Other",17.074,2005, MtCO2
"Other",18.888,2006, MtCO2
"Other",15.033,2007, MtCO2
"Other",17.26,2008, MtCO2
"Other",17.719,2009, MtCO2
"Other",20.742,2010, MtCO2
"Other",21.096,2011, MtCO2
"Other",21.012,2012, MtCO2
"Other",21.255,2013, MtCO2
"Other",21.516,2014, MtCO2
"Other",21.24,2015, MtCO2
"Other",22.724,2016, MtCO2
"Other",21.971,2017, MtCO2
"Other",23.114,2018, MtCO2
"Other",24.814,2019, MtCO2
"Other",25.124,2020, MtCO2
"Other",27.156,2021, MtCO2
"Other",25.838,2022, MtCO2
"Other",26.363,2023, MtCO2
